gene_id,gene_symbol,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
ENSG00000275016,Gm14052,1.015079038,2.460021137,4.198268779,4.345515146,4.46016175,4.0835596,7.663819995,4.185011725,2.998704554,7.412769755
ENSG00000222076,Gm6238,3.045237115,0.820007046,1.679307512,1.086378787,0.743360292,0.742465382,2.873932498,0,0.999568185,4.632981097
ENSG00000309506,Gm11221,187.7896221,136.1211696,240.9806279,185.7707725,134.5482128,224.9670107,319.9644848,269.5147551,236.8976598,279.8320582
ENSG00000277654,Gm13413,3.045237115,2.460021137,0,0.543189393,2.973441167,0.371232691,4.789887497,6.69601876,2.998704554,2.779788658
ENSG00000275443,Gm13623,5.075395192,4.920042275,7.556883802,4.345515146,2.973441167,6.682188436,15.32763999,13.39203752,2.998704554,6.486173535
ENSG00000259702,Gm12816,81.20632307,76.26065526,126.7877171,86.91030292,95.89347762,72.01914204,116.8732549,103.7882908,162.9296141,137.1362405
ENSG00000247809,Fam220a,36.54284538,2.460021137,7.556883802,4.345515146,0.743360292,4.826024982,8.621797494,8.37002345,3.998272739,7.412769755
ENSG00000280048,Gm11764,1.015079038,0.820007046,0.839653756,0.543189393,0.743360292,1.484930764,1.915954999,0,1.99913637,0
ENSG00000277135,Gm12618,4.060316154,0.820007046,0,0,0,0.371232691,0,3.34800938,0,0
ENSG00000278146,Gm6222,7.105553269,2.460021137,4.198268779,2.172757573,2.973441167,0.371232691,3.831909997,3.34800938,3.998272739,0
ENSG00000259763,Gm15331,0,0,0,0.543189393,0,1.856163455,5.747864996,0.837002345,0,0
ENSG00000280291,Rps15a-ps6,564.3839454,158.2613598,319.908081,159.6976816,205.9108008,216.4286588,416.7202122,310.52787,339.8531828,363.225718
ENSG00000185551,Gm13140,10.15079038,8.200070458,19.31203638,19.01162876,18.58400729,12.99314418,11.49572999,20.08805628,17.99222733,9.265962193
ENSG00000283888,Gm8087,0,0,0,0.543189393,0,0.371232691,0.957977499,0.837002345,0,0
ENSG00000293555,Gm9083,11.16586942,4.920042275,14.27411385,16.2956818,6.690242625,7.424653818,8.621797494,14.22903986,8.996113663,11.11915463
ENSG00000283597,Gmfg-ps,8.120632307,4.920042275,0.839653756,6.518272719,2.973441167,2.969861527,0.957977499,5.02201407,9.995681848,4.632981097
ENSG00000259507,Gm13433,3.045237115,1.640014092,0.839653756,0,1.486720583,2.598628836,5.747864996,2.511007035,3.998272739,3.706384877
ENSG00000293388,Gm12416,14.21110654,8.200070458,10.07584507,5.975083326,3.716801458,4.0835596,8.621797494,7.533021105,7.996545479,7.412769755
ENSG00000300802,Gm14822,5.075395192,5.740049321,2.518961267,1.62956818,2.973441167,1.113698073,2.873932498,0.837002345,2.998704554,5.559577316
ENSG00000259485,Gm12986,1.015079038,1.640014092,1.679307512,2.715946966,0,2.598628836,0.957977499,3.34800938,0.999568185,0.926596219
ENSG00000296623,Gm14140,0,0.820007046,0,2.715946966,2.973441167,1.113698073,6.705842496,3.34800938,3.998272739,0.926596219
ENSG00000296711,Gm12191,480.1323852,212.3818249,434.1009918,197.1777498,255.7159403,268.4012355,524.0136922,403.4351303,443.8082741,480.9034378
ENSG00000296647,Gm7785,10.15079038,5.740049321,12.59480634,5.975083326,11.89376467,6.682188436,8.621797494,10.88103048,9.995681848,6.486173535
ENSG00000259403,Gm13195,6.09047423,9.020077504,4.198268779,9.777409079,12.63712496,5.568490364,6.705842496,7.533021105,2.998704554,2.779788658
ENSG00000251209,Gm13668,4.060316154,0,2.518961267,0.543189393,2.230080875,1.856163455,0,3.34800938,0.999568185,3.706384877
ENSG00000242863,Gm14670,0,0,0,0.543189393,0,0.371232691,0,0,0,0
ENSG00000296689,Amy2b,0,0,0,0,0,0,0,0,0.999568185,0
ENSG00000251729,Gm15382,0,3.280028183,0.839653756,1.62956818,2.973441167,3.341094218,0,2.511007035,3.998272739,0
ENSG00000296667,Gm15531,0,0,0,0,0,0,0,0,0,0
ENSG00000287267,Gm11249,145.1563025,59.0405073,130.9859859,64.6395378,69.87586741,89.8383112,123.5790974,113.8323189,77.96631842,111.1915463
ENSG00000287321,Gm4760,1.015079038,0.820007046,0,0,0,1.484930764,0,0,0,0
ENSG00000259199,Gm4908,2.030158077,1.640014092,2.518961267,1.62956818,0.743360292,0.371232691,0,0,0.999568185,0
ENSG00000259870,Gm14494,165.4578833,79.54068344,172.9686737,111.3538256,129.3446907,138.098561,195.4274099,191.673537,148.9356595,173.273493
ENSG00000287000,Gm6044,0,2.460021137,0,2.715946966,0,1.484930764,2.873932498,2.511007035,0,0
ENSG00000140450,Gm13430,9.135711346,6.560056366,10.07584507,10.32059847,9.663683791,11.50821342,12.45370749,14.22903986,12.9943864,13.89894329
ENSG00000304399,Gm12917,26.392055,4.100035229,12.59480634,3.802325753,2.230080875,6.310955745,8.621797494,9.207025795,6.996977294,4.632981097
ENSG00000259478,Gm5303,15.22618558,9.020077504,11.75515258,7.061462113,4.46016175,12.62191149,19.15954999,15.06604221,8.996113663,11.11915463
ENSG00000258483,Gm14421,5.075395192,2.460021137,0,7.061462113,7.433602916,4.0835596,0.957977499,2.511007035,0.999568185,0.926596219
ENSG00000283372,Gm14620,1.015079038,2.460021137,0,0,0,0.371232691,0,0,0,0.926596219
ENSG00000259611,Gm13410,0,26.24022547,8.396537558,35.30731056,38.65473516,7.053421127,0,10.04402814,8.996113663,5.559577316
ENSG00000222361,Gm14724,0,0,0.839653756,1.62956818,0,0,0,0,0,0
ENSG00000259320,Gm6341,9.135711346,2.460021137,8.396537558,6.518272719,0.743360292,18.19040185,8.621797494,3.34800938,9.995681848,10.19255841
ENSG00000259266,Gm14109,4.060316154,0,4.198268779,3.25913636,0,1.856163455,3.831909997,3.34800938,4.997840924,4.632981097
ENSG00000305856,Cyp4a29,0,0,0.839653756,0,0,2.598628836,0.957977499,0.837002345,0,0
ENSG00000305874,Gm12418,14.21110654,21.32018319,29.38788145,39.10963632,26.01761021,33.03970949,39.27707747,41.85011725,35.98445465,26.87129036
ENSG00000259041,Gm11380,0,0,0,1.62956818,0.743360292,1.484930764,0.957977499,5.859016415,0.999568185,0
ENSG00000297350,Apc-ps1,1.015079038,2.460021137,0,2.715946966,3.716801458,2.227396145,4.789887497,2.511007035,2.998704554,4.632981097
ENSG00000259424,Gm12180,0,4.100035229,4.198268779,3.802325753,6.690242625,4.454792291,2.873932498,2.511007035,1.99913637,6.486173535
ENSG00000297382,Gm11427,19.28650173,17.22014796,11.75515258,17.38206058,16.35392642,15.22054033,0.957977499,0.837002345,11.99481822,21.31171304
ENSG00000278022,Gm8648,0,0,0,0,0.743360292,0.371232691,0,2.511007035,0,0.926596219
ENSG00000303526,Gm6580,1.015079038,2.460021137,2.518961267,0.543189393,0,2.969861527,0.957977499,6.69601876,2.998704554,4.632981097
ENSG00000264480,Gm14405,0,0.820007046,0,0.543189393,0,0,0.957977499,0.837002345,0,0
ENSG00000140443,Gm7820,0,0,0,0,0,0,0,0,0,0
ENSG00000287191,Gm12693,89.32695538,36.90031706,53.73784037,34.22093178,40.88481604,33.78217487,59.39460496,41.85011725,43.98100013,52.8159845
ENSG00000259621,Gm15575,1.015079038,4.920042275,3.358615023,3.25913636,2.973441167,3.341094218,4.789887497,4.185011725,0.999568185,0.926596219
ENSG00000304780,Gm11805,4.060316154,0.820007046,3.358615023,2.715946966,2.973441167,0.371232691,3.831909997,0.837002345,2.998704554,0.926596219
ENSG00000259475,Gm9432,21.31665981,11.48009864,10.91549883,8.691030292,7.433602916,8.1671192,23.94943748,25.11007035,10.99525003,24.0915017
ENSG00000183571,Gm15066,0,0.820007046,0.839653756,2.172757573,0,4.826024982,0.957977499,0,0,0
ENSG00000278090,Gm14780,3.045237115,0.820007046,1.679307512,4.345515146,0,2.598628836,3.831909997,0.837002345,0.999568185,2.779788658
ENSG00000299345,Rbmx2-ps,0,0,0.839653756,1.086378787,0.743360292,0.371232691,1.915954999,3.34800938,1.99913637,2.779788658
ENSG00000182253,Gm16425,0,13.12011273,6.717230046,9.777409079,7.433602916,7.424653818,6.705842496,11.71803283,4.997840924,10.19255841
ENSG00000261054,Gm11410,4.060316154,2.460021137,2.518961267,1.086378787,1.486720583,2.227396145,2.873932498,0,4.997840924,2.779788658
ENSG00000310223,Gm12919,35.52776634,23.78020433,34.42580399,26.07309088,23.04416904,17.81916916,31.61325748,41.0131149,32.9857501,51.88938828
ENSG00000068305,Gm7222,0,0,0,0,0,0.371232691,0,0,0,0
ENSG00000201724,Gm13453,39.5880825,11.48009864,68.85160798,28.78903784,31.96449254,37.49450178,27.78134748,27.62107738,52.9771138,60.22875426
ENSG00000183060,Gm15659,0,1.640014092,2.518961267,2.172757573,0.743360292,0,2.873932498,0,0,0.926596219
ENSG00000103852,Gm11185,1.015079038,6.560056366,5.037922535,2.172757573,3.716801458,2.969861527,6.705842496,2.511007035,4.997840924,9.265962193
ENSG00000261616,Gm11839,8.120632307,11.48009864,11.75515258,21.18438634,23.04416904,20.417798,14.36966249,4.185011725,4.997840924,9.265962193
ENSG00000168904,Gm7108,9.135711346,60.68052139,39.46372652,45.08471964,48.31841896,50.48764596,50.77280747,56.07915711,37.98359102,38.91704121
ENSG00000259228,Gm15568,0,0,0,1.62956818,2.973441167,1.113698073,0.957977499,0,0.999568185,0
ENSG00000259257,Gm5939,4.060316154,7.380063412,8.396537558,7.604651506,8.9203235,5.939723054,4.789887497,7.533021105,5.997409109,9.265962193
